simulation,200 bgk dens ID,matched old id,id difference,do we have sunrise data?
h148,2,2,0,Yes
h148,3,3,0,Yes
h148,5,5,0,Yes
h148,6,6,0,Yes
h148,9,9,0,No
h148,10,10,0,Yes
h148,11,11,0,Yes
h148,13,12,-1,Yes
h148,14,14,0,Yes
h148,21,18,-3,Yes
h148,27,26,-1,Yes
h148,28,28,0,Yes
h148,32,31,-1,Yes
h148,36,34,-2,No
h148,37,36,-1,Yes
h148,45,42,-3,No
h148,61,57,-4,Yes
h148,68,64,-4,No
h148,80,77,-3,No
h148,96,94,-2,No
h148,128,125,-3,No
h148,163,160,-3,No
h148,265,252,-13,No
h148,278,264,-14,No
h148,283,271,-12,No
h148,329,304,-25,No
h148,386,372,-14,No
h229,20,17,-3,Yes
h229,22,21,-1,No
h229,23,22,-1,Yes
h229,27,27,0,No
h229,53,51,-2,No
h229,55,52,-3,No
h229,73,70,-3,No
h229,113,104,-9,No
h229,212,203,-9,No
h229,549,553,4,No
h242,10,9,-1,No
h242,12,11,-1,Yes
h242,24,24,0,No
h242,30,29,-1,No
h242,40,39,-1,Yes
h242,41,40,-1,No
h242,78,75,-3,No
h242,80,76,-4,Yes
h242,439,425,-14,No
h242,480,457,-23,No
h329,11,9,-2,Yes
h329,33,32,-1,Yes
h329,133,126,-7,No
h329,137,129,-8,No
h329,447,444,-3,No